src_ip,dst_ip,src_port,dst_port,protocol,iat_mean,pkt_size_mean,ip_flags_df,ip_flags_mf,ip_flags_rb,ip_frag_off,tcp_len_mean,ack_count,cwr_count,ece_count,fin_count,psh_count,res_count,rst_count,syn_count,urg_count,tcp_win_mean,udp_len_mean,icmp_type_mean,pkt_count,label
10.0.3.36,192.168.0.2,44018,3306,6,1.355909,77.0,16,0,0,0,9.0,14,0,0,4,2,0,0,4,0,10785.5,0.0,0.0,16,normal
10.0.3.36,192.168.0.1,0,0,1,0.692313,98.0,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,16,normal
10.0.1.16,192.168.0.1,40856,8000,6,0.130846,5399.87,83,0,0,0,5333.29,80,0,0,0,37,0,0,6,0,3291.25,0.0,0.0,83,normal
10.0.3.34,192.168.0.2,41776,3306,6,0.446666,77.48,46,0,0,0,9.39,40,0,0,12,6,0,0,12,0,11250.83,0.0,0.0,46,normal
10.0.1.14,192.168.0.1,39678,8000,6,0.232329,116.79,87,0,0,0,49.32,72,0,0,12,22,0,8,22,0,10904.59,0.0,0.0,87,normal
10.0.2.22,192.168.0.2,55806,3306,6,0.32576,77.41,54,0,0,0,9.33,47,0,0,14,7,0,0,14,0,11181.89,0.0,0.0,54,normal
10.0.3.33,192.168.0.1,35642,8000,6,0.145815,130.17,110,0,0,0,62.79,97,0,0,17,28,0,5,22,0,8643.65,0.0,0.0,110,normal
10.0.1.16,192.168.0.2,37114,3306,6,4.7e-05,77.0,8,0,0,0,9.0,7,0,0,2,1,0,0,2,0,10785.5,0.0,0.0,8,normal
10.0.2.23,192.168.0.2,43046,3306,6,0.05909,77.23,337,0,0,0,9.19,294,0,0,85,43,0,0,86,0,11007.8,0.0,0.0,337,normal
10.0.3.32,192.168.0.1,49292,8000,6,0.020493,1351.53,963,0,0,0,1284.18,882,0,0,147,325,0,0,162,0,7296.3,0.0,0.0,963,normal
10.0.3.32,192.168.0.2,45204,3306,6,0.224653,77.13,87,0,0,0,9.1,76,0,0,22,11,0,0,22,0,10908.49,0.0,0.0,87,normal
10.0.2.21,192.168.0.2,45322,3306,6,0.069283,77.32,282,0,0,0,9.61,236,0,0,65,46,0,9,74,0,11314.1,0.0,0.0,282,normal
10.0.2.21,192.168.0.1,51242,8000,6,0.031663,130.09,592,0,0,0,62.52,534,0,0,113,172,0,0,116,0,8471.69,0.0,0.0,592,normal
10.0.2.24,192.168.0.1,38726,8000,6,0.041855,3739.95,476,0,0,0,3672.94,442,0,0,35,206,0,4,63,0,5849.89,0.0,0.0,476,normal
10.0.2.24,192.168.0.2,55346,3306,6,0.126808,77.31,140,0,0,0,9.26,122,0,0,36,18,0,0,36,0,11091.27,0.0,0.0,140,normal
10.0.2.26,192.168.0.1,45708,8000,6,0.087825,128.35,225,0,0,0,60.79,203,0,0,43,66,0,0,44,0,8454.99,0.0,0.0,225,normal
10.0.1.12,192.168.0.2,56002,3306,6,0.12867,77.15,150,0,0,0,9.12,131,0,0,38,19,0,0,38,0,10928.2,0.0,0.0,150,normal
10.0.1.12,192.168.0.1,39530,8000,6,0.056721,3990.04,339,0,0,0,3923.22,318,0,0,11,150,0,7,38,0,4897.23,0.0,0.0,339,normal
10.0.2.26,192.168.0.2,60406,3306,6,0.075893,76.82,257,0,0,0,9.06,220,0,0,59,37,0,6,64,0,10742.17,0.0,0.0,257,normal
10.0.3.34,192.168.0.1,44864,8000,6,0.066379,6125.64,289,0,0,0,6058.93,277,0,0,3,153,0,1,24,0,3853.36,0.0,0.0,289,normal
10.0.1.14,192.168.0.1,0,0,1,0.193694,98.0,51,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,102,normal
10.0.2.22,192.168.0.1,50798,8000,6,0.066524,6329.83,275,0,0,0,6263.07,262,0,0,2,152,0,2,26,0,4356.34,0.0,0.0,275,normal
10.0.2.23,192.168.0.1,47992,8000,6,0.053,2466.49,349,0,0,0,2399.34,324,0,0,34,143,0,0,50,0,6219.28,0.0,0.0,349,normal
10.0.1.15,192.168.0.1,39794,8000,6,0.013081,119.01,1531,0,0,0,51.31,1367,0,0,315,474,0,0,326,0,9198.14,0.0,0.0,1531,normal
10.0.1.13,192.168.0.1,60216,8000,6,0.014468,4765.95,1372,0,0,0,4699.03,1293,0,0,69,684,0,0,158,0,5148.8,0.0,0.0,1372,normal
10.0.1.13,192.168.0.2,44020,3306,6,0.107591,77.71,179,0,0,0,9.65,156,0,0,48,24,0,0,46,0,11084.49,0.0,0.0,179,normal
10.0.3.33,192.168.0.1,0,0,1,0.243099,98.0,37,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,74,normal
10.0.3.33,192.168.0.2,0,0,1,0.40735,98.0,21,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,42,normal
10.0.3.31,192.168.0.1,47438,8000,6,0.134307,118.03,140,0,0,0,50.34,123,0,0,23,37,0,6,31,0,9557.94,0.0,0.0,140,normal
10.0.3.31,192.168.0.2,45920,3306,6,0.159068,77.38,116,0,0,0,9.31,101,0,0,29,15,0,0,30,0,11154.53,0.0,0.0,116,normal
10.0.1.14,192.168.0.2,0,0,1,0.448597,98.0,19,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,38,normal
10.0.1.15,192.168.0.2,49018,3306,6,0.152993,77.78,127,0,0,0,9.64,110,0,0,34,17,0,0,34,0,11543.94,0.0,0.0,127,normal
10.0.2.25,192.168.0.2,60824,3306,6,0.029945,77.15,655,0,0,0,9.12,572,0,0,166,83,0,0,166,0,10932.54,0.0,0.0,655,normal
10.0.2.25,192.168.0.1,58174,8000,6,0.163357,148.97,120,0,0,0,81.51,109,0,0,22,33,0,0,22,0,7931.77,0.0,0.0,120,normal
10.0.3.35,192.168.0.1,48018,8000,6,0.043743,3887.35,452,0,0,0,3820.41,425,0,0,28,201,0,0,53,0,5278.98,0.0,0.0,452,normal
10.0.1.14,192.168.0.2,51810,3306,6,0.905931,77.48,23,0,0,0,9.39,20,0,0,6,3,0,0,6,0,11250.83,0.0,0.0,23,normal
10.0.3.33,192.168.0.2,34232,3306,6,1.234806,77.0,16,0,0,0,9.0,14,0,0,4,2,0,0,4,0,10785.5,0.0,0.0,16,normal
10.0.3.36,192.168.0.2,0,0,1,0.823211,98.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,4,normal
10.0.3.36,192.168.0.1,41800,8000,6,7.6e-05,156.9,10,0,0,0,89.3,9,0,0,2,3,0,0,2,0,8645.2,0.0,0.0,10,normal
10.0.1.16,192.168.0.1,40856,8000,6,0.215473,7688.76,72,0,0,0,7622.1,69,0,0,0,40,0,0,6,0,4131.96,0.0,0.0,72,normal
10.0.3.34,192.168.0.2,41776,3306,6,0.567802,75.78,27,0,0,0,8.0,24,0,0,7,3,0,0,6,0,9596.33,0.0,0.0,27,normal
10.0.3.35,192.168.0.2,56722,3306,6,0.475121,79.33,27,0,0,0,10.67,22,0,0,6,4,0,0,9,0,14332.37,0.0,0.0,27,normal
10.0.1.14,192.168.0.1,39678,8000,6,0.207115,118.22,78,0,0,0,50.99,65,0,0,12,20,0,8,18,0,9957.97,0.0,0.0,78,normal
10.0.2.22,192.168.0.2,55806,3306,6,0.191637,77.0,48,0,0,0,9.0,42,0,0,12,6,0,0,12,0,10785.5,0.0,0.0,48,normal
10.0.3.33,192.168.0.1,35642,8000,6,0.224576,116.32,50,0,0,0,49.12,41,0,0,7,13,0,5,12,0,10352.34,0.0,0.0,50,normal
10.0.2.23,192.168.0.2,43046,3306,6,0.074451,77.42,262,0,0,0,9.34,228,0,0,68,34,0,0,68,0,11193.98,0.0,0.0,262,normal
10.0.3.32,192.168.0.1,49292,8000,6,0.024796,1723.04,802,0,0,0,1655.68,733,0,0,124,296,0,0,137,0,7435.21,0.0,0.0,802,normal
10.0.3.32,192.168.0.2,45204,3306,6,0.35881,76.73,41,0,0,0,8.78,36,0,0,10,5,0,0,10,0,10524.46,0.0,0.0,41,normal
10.0.2.21,192.168.0.2,45322,3306,6,0.068861,77.45,264,0,0,0,9.7,221,0,0,62,43,0,8,70,0,11431.56,0.0,0.0,264,normal
10.0.2.21,192.168.0.1,51242,8000,6,0.039271,137.0,492,0,0,0,69.35,442,0,0,99,150,0,0,101,0,8872.57,0.0,0.0,492,normal
10.0.2.24,192.168.0.1,38726,8000,6,0.025321,4986.05,787,0,0,0,4919.19,743,0,0,37,373,0,4,86,0,5036.59,0.0,0.0,787,normal
10.0.2.24,192.168.0.2,55346,3306,6,0.133997,77.4,139,0,0,0,9.32,121,0,0,36,18,0,0,36,0,11170.48,0.0,0.0,139,normal
10.0.2.26,192.168.0.1,45708,8000,6,0.115211,132.34,173,0,0,0,64.76,156,0,0,35,51,0,0,34,0,8496.78,0.0,0.0,173,normal
10.0.3.36,192.168.0.1,0,0,1,0.610667,98.0,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,14,normal
10.0.1.12,192.168.0.2,56002,3306,6,0.1782,77.44,100,0,0,0,9.36,87,0,0,26,13,0,0,26,0,11213.6,0.0,0.0,100,normal
10.0.1.12,192.168.0.1,39530,8000,6,0.046043,5027.17,415,0,0,0,4960.51,398,0,0,3,210,0,0,34,0,3618.73,0.0,0.0,415,normal
10.0.2.26,192.168.0.2,60406,3306,6,0.075744,77.1,259,0,0,0,9.25,222,0,0,60,37,0,6,66,0,10990.81,0.0,0.0,259,normal
10.0.3.34,192.168.0.1,44864,8000,6,0.111441,4784.63,179,0,0,0,4717.82,170,0,0,2,79,0,2,18,0,4505.79,0.0,0.0,179,normal
10.0.1.14,192.168.0.1,0,0,1,0.212802,98.0,46,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,92,normal
10.0.2.22,192.168.0.1,50798,8000,6,0.050625,6644.48,378,0,0,0,6577.84,363,0,0,3,206,0,0,30,0,3818.81,0.0,0.0,378,normal
10.0.2.23,192.168.0.1,47992,8000,6,0.053253,2646.35,349,0,0,0,2579.29,326,0,0,33,141,0,0,46,0,5740.46,0.0,0.0,349,normal
10.0.1.15,192.168.0.1,39794,8000,6,0.011668,117.23,1689,0,0,0,49.59,1516,0,0,346,521,0,0,346,0,8853.08,0.0,0.0,1689,normal
10.0.1.13,192.168.0.1,60216,8000,6,0.01548,4791.9,1292,0,0,0,4724.97,1217,0,0,67,639,0,0,150,0,5304.48,0.0,0.0,1292,normal
10.0.1.13,192.168.0.2,44020,3306,6,0.095574,77.53,206,0,0,0,9.44,179,0,0,54,27,0,0,54,0,11305.04,0.0,0.0,206,normal
10.0.3.33,192.168.0.1,0,0,1,0.254765,98.0,35,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,70,normal
10.0.3.33,192.168.0.2,0,0,1,0.457032,98.0,22,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,44,normal
10.0.3.31,192.168.0.1,47438,8000,6,0.063378,113.51,297,0,0,0,45.88,265,0,0,52,81,0,9,62,0,9019.66,0.0,0.0,297,normal
10.0.3.31,192.168.0.2,45920,3306,6,0.178994,77.44,100,0,0,0,9.36,87,0,0,26,13,0,0,26,0,11213.6,0.0,0.0,100,normal
10.0.1.14,192.168.0.2,0,0,1,0.549535,98.0,18,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,36,normal
10.0.1.15,192.168.0.2,49018,3306,6,0.085042,77.39,224,0,0,0,9.32,195,0,0,57,29,0,0,58,0,11167.72,0.0,0.0,224,normal
10.0.2.25,192.168.0.2,60824,3306,6,0.029013,77.21,683,0,0,0,9.17,596,0,0,172,87,0,0,174,0,10989.19,0.0,0.0,683,normal
10.0.2.25,192.168.0.1,58174,8000,6,0.180011,154.96,100,0,0,0,87.52,91,0,0,20,29,0,0,18,0,7789.1,0.0,0.0,100,normal
10.0.3.35,192.168.0.1,48018,8000,6,0.042608,4013.07,443,0,0,0,3946.13,417,0,0,26,209,0,0,52,0,5191.91,0.0,0.0,443,normal
10.0.1.14,192.168.0.2,51810,3306,6,0.663704,77.35,31,0,0,0,9.29,27,0,0,8,4,0,0,8,0,11130.74,0.0,0.0,31,normal
10.0.3.36,192.168.0.2,0,0,1,2.312516,98.0,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,4,normal
10.0.3.36,192.168.0.1,41800,8000,6,0.330412,148.64,22,0,0,0,81.18,20,0,0,4,6,0,0,4,0,7866.91,0.0,0.0,22,normal
10.0.3.34,192.168.0.2,41776,3306,6,0.342924,77.62,53,0,0,0,9.51,46,0,0,14,7,0,0,14,0,11391.26,0.0,0.0,53,normal
10.0.3.35,192.168.0.2,56722,3306,6,0.434808,77.0,24,0,0,0,9.0,21,0,0,6,3,0,0,6,0,10785.5,0.0,0.0,24,normal
10.0.1.14,192.168.0.1,39678,8000,6,0.18658,121.39,96,0,0,0,53.93,82,0,0,14,25,0,8,22,0,9891.05,0.0,0.0,96,normal
10.0.3.33,192.168.0.2,34232,3306,6,0.565612,77.58,38,0,0,0,9.47,33,0,0,10,5,0,0,10,0,11348.79,0.0,0.0,38,normal
10.0.2.22,192.168.0.2,55806,3306,6,0.439216,77.0,40,0,0,0,9.0,35,0,0,10,5,0,0,10,0,10785.5,0.0,0.0,40,normal
10.0.3.33,192.168.0.1,35642,8000,6,0.243589,117.21,80,0,0,0,49.71,69,0,0,11,20,0,7,18,0,9713.23,0.0,0.0,80,normal
10.0.3.36,192.168.0.2,44018,3306,6,3.6e-05,77.0,8,0,0,0,9.0,7,0,0,2,1,0,0,2,0,10785.5,0.0,0.0,8,normal
10.0.2.23,192.168.0.2,43046,3306,6,0.101052,77.21,197,0,0,0,9.14,171,0,0,50,25,0,0,51,0,11162.98,0.0,0.0,197,normal
10.0.3.32,192.168.0.1,49292,8000,6,0.020776,1214.89,958,0,0,0,1147.56,878,0,0,146,319,0,0,160,0,7243.37,0.0,0.0,958,normal
10.0.3.32,192.168.0.2,45204,3306,6,0.333693,77.41,54,0,0,0,9.33,47,0,0,14,7,0,0,14,0,11181.89,0.0,0.0,54,normal
10.0.2.21,192.168.0.2,45322,3306,6,0.043246,76.92,459,0,0,0,9.24,388,0,0,102,71,0,15,116,0,10899.68,0.0,0.0,459,normal
10.0.2.21,192.168.0.1,51242,8000,6,0.028219,128.37,669,0,0,0,60.84,605,0,0,126,192,0,0,128,0,8274.12,0.0,0.0,669,normal
10.0.2.24,192.168.0.1,38726,8000,6,0.031274,3447.45,573,0,0,0,3380.49,535,0,0,39,247,0,4,72,0,5585.71,0.0,0.0,573,normal
10.0.2.24,192.168.0.2,55346,3306,6,0.146031,77.16,134,0,0,0,9.13,117,0,0,34,17,0,0,34,0,10945.24,0.0,0.0,134,normal
10.0.2.26,192.168.0.1,45708,8000,6,0.097245,130.13,199,0,0,0,62.6,180,0,0,38,57,0,0,38,0,8258.04,0.0,0.0,199,normal
10.0.3.36,192.168.0.1,0,0,1,0.981912,98.0,10,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,20,normal
10.0.1.12,192.168.0.2,56002,3306,6,0.125705,77.37,147,0,0,0,9.31,128,0,0,37,19,0,0,38,0,11149.5,0.0,0.0,147,normal
10.0.1.12,192.168.0.1,39530,8000,6,0.053791,3930.67,302,0,0,0,3863.91,286,0,0,14,133,0,2,30,0,4424.03,0.0,0.0,302,normal
10.0.2.26,192.168.0.2,60406,3306,6,0.05485,76.78,341,0,0,0,8.97,292,0,0,77,49,0,7,86,0,10878.15,0.0,0.0,341,normal
10.0.3.34,192.168.0.1,44864,8000,6,0.049486,5440.87,326,0,0,0,5374.28,314,0,0,1,156,0,1,24,0,3431.79,0.0,0.0,326,normal
10.0.1.14,192.168.0.1,0,0,1,0.206555,98.0,49,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,98,normal
10.0.2.22,192.168.0.1,50798,8000,6,0.075341,7244.88,252,0,0,0,7178.19,241,0,0,1,142,0,1,22,0,4371.53,0.0,0.0,252,normal
10.0.2.23,192.168.0.1,47992,8000,6,0.059118,2058.43,338,0,0,0,1991.25,313,0,0,38,128,0,0,50,0,6417.26,0.0,0.0,338,normal
